From,To,Intensity,Fuel,Value
2021-08-03T20:00Z,2021-08-03T20:30Z,113,biomass,0.0
2021-08-03T20:00Z,2021-08-03T20:30Z,113,coal,0.0
2021-08-03T20:00Z,2021-08-03T20:30Z,113,imports,74.2
2021-08-03T20:00Z,2021-08-03T20:30Z,113,gas,23.7
2021-08-03T20:00Z,2021-08-03T20:30Z,113,nuclear,0.0
2021-08-03T20:00Z,2021-08-03T20:30Z,113,other,0.0
2021-08-03T20:00Z,2021-08-03T20:30Z,113,hydro,0.4
2021-08-03T20:00Z,2021-08-03T20:30Z,113,solar,0.0
2021-08-03T20:00Z,2021-08-03T20:30Z,113,wind,1.7
2021-08-03T20:30Z,2021-08-03T21:00Z,113,biomass,0.0
2021-08-03T20:30Z,2021-08-03T21:00Z,113,coal,0.0
2021-08-03T20:30Z,2021-08-03T21:00Z,113,imports,74.6
2021-08-03T20:30Z,2021-08-03T21:00Z,113,gas,23.7
2021-08-03T20:30Z,2021-08-03T21:00Z,113,nuclear,0.0
2021-08-03T20:30Z,2021-08-03T21:00Z,113,other,0.0
2021-08-03T20:30Z,2021-08-03T21:00Z,113,hydro,0.2
2021-08-03T20:30Z,2021-08-03T21:00Z,113,solar,0.0
2021-08-03T20:30Z,2021-08-03T21:00Z,113,wind,1.5
2021-08-03T21:00Z,2021-08-03T21:30Z,111,biomass,0.0
2021-08-03T21:00Z,2021-08-03T21:30Z,111,coal,0.0
2021-08-03T21:00Z,2021-08-03T21:30Z,111,imports,75.9
2021-08-03T21:00Z,2021-08-03T21:30Z,111,gas,22.7
2021-08-03T21:00Z,2021-08-03T21:30Z,111,nuclear,0.0
2021-08-03T21:00Z,2021-08-03T21:30Z,111,other,0.0
